ID,FreeDescription,FreeDescription2
P5,確実に指定したものを実現できるが、少し時間のかかるものであった,空間参照＋ポインティングと比べて時間がかかってしまうように感じた。しかしすべて確実に遂行することができた。
P6,ライトの色が限られている日常生活などでは有用だと感じたが、一方で複数の色を扱う場合は色の数だけ必要な指示回数が増加するため、よりストレスフルになる可能性があると感じた。ただし、一回ごとの指示が長文にならず、「点けて」や「（色）」といった単語でも完結する点は好感を持った。,指定のライトを単色で付ける分にはもう一方のポインティングのものと大きな差はないが、複数の色を指定しなければならない場合は色の数だけ実行しなければならないためストレスが増すように感じた。また、「〇色につけて」という指示を出した際に、その色につく場合とつかない場合があり一貫性が少し欠けているように感じられたため、その点からも不必要にストレスが発生してしまう可能性があるように感じた。
P7,場所を間違えることがあり得ないので、その部分での精神的な負担が少なかった,これまでに行った３つの操作方法の中でも、最も単純な操作で覚えやすかった。
P8,ライトを複数色同時に光らせることができない点が、少し負担に感じました。,選択式で、かつ左右を指定できる条件と比べて、異なる色のライトは別で入力しなければならないのは面倒だが、結果の予測は容易なのでその点では使いやすかったです。
P9,,空間情報がないので一つずつ行う必要があるところがほかの方法と比べて不便に感じた
P10,,推論が制限されているので、指示を正確にする必要があり、面倒だった。
P11,前回と比べて操作が上達したと思いました,pointing + spatial条件のほうが使いやすかったです。「右から・・・」みたいな指示ができると便利だと思いました
P12,使いやすかった。ライトの選択は手動で、色の指定は言葉でできるのはよいと思った。あいまいさがなくなるので。,指定できないよりは便利だった。しかし、色を同時に指定できないのは不便だ。
P13,一定の複雑さを持つ配色が求められる時とかに左右とかの情報が役立つと実感した,
P20,一つ一つやるのは面倒だが、間違えづらく安心感があった,
P22,"ヘッドセットを長時間点けて操作するのは多少疲れました。
LLMは多少の音声誤認識にも対応していたため、ある程度の指示であれば問題なくライトをつけることができるという点で、特に不便を感じませんでした。",
