タイムスタンプ,"I think that I would like to use this system frequently.
（このシステムを頻繁に使用したいと思います。）","I found the system unnecessarily complex.
（このシステムは不必要に複雑だと感じました。）","I thought the system was easy to use.
（このシステムは簡単に使えると感じました。）","I think that I would need the support of a technical person to be able to use this system.
（このシステムを使うには技術的なサポートが必要だと思いました。）","I found the various functions in this system were well integrated.
（このシステムのさまざまな機能はうまく統合されていると感じました。）","I thought there was too much inconsistency in this system.
（このシステムには一貫性がないと感じました。）","I would imagine that most people would learn to use this system very quickly.
（ほとんどの人がこのシステムをすぐに使いこなせると思います。）","I found the system very cumbersome to use.
（このシステムは使いづらいと感じました。）","I felt very confident using the system.
（このシステムを使用する際、自信を持って使えました。）","I needed to learn a lot of things before I could get going with this system.
（このシステムを使い始める前に、多くのことを学ぶ必要がありました。）","  Using this interaction method improved my task performance.
（この操作方法を使うことで、タスクの効率が向上したと感じましたか？）","  I intend to use this interaction method in the future.
（今後もこの操作方法を使いたいと思いますか？）","  I found this interaction method to be smooth and easy to execute.
（この操作方法はスムーズに実行できましたか？）","  The behavior of this interaction method was consistent.
（この操作方法の動作は一貫していましたか？）","  This interaction method performed as I intended.
（この操作方法は意図したとおりに動作しましたか？）","  I felt that this interaction method was trustworthy.
（この操作方法は信頼できると感じましたか？）","  I was confident that this interaction method would work correctly.
（この操作方法を使用する際、システムが適切に動作すると確信していましたか？）","   I felt that this system was trustworthy.
（このシステムは信頼できると感じました。）","  I was confident that this system would function correctly.
（このシステムが適切に動作すると確信していました。）","  The system was reliable in its responses.
（このシステムの応答は信頼できるものでした。）  ","  The system behaved in a consistent manner.
（このシステムの挙動は一貫していました。）  ","  I can trust this system to operate as expected.
（このシステムは予想通りに動作すると信頼できます。）  ","  The system’s actions were easy to understand.
（このシステムの動作は理解しやすかった。）  ","   I was able to predict how the system would respond to my actions.
（このシステムがどのように反応するか予測できました。）  ","  The system provided clear feedback about its actions.
（このシステムは、自分の動作について明確なフィードバックを提供しました。）  ","  The system behaved in an underhanded manner.
（このシステムは不誠実な動作をしたと感じました。）  ","  The system’s actions could lead to harmful or unintended consequences.
（このシステムの動作は、望ましくない結果や危険を引き起こす可能性があると感じました。）  ","  The system provides a sense of security and integrity.
（このシステムは安全性と誠実性を提供すると感じました。）  ","How mentally demanding was the task?
（このタスクはどの程度、精神的に負担を感じましたか？）","How physically demanding was the task?
（このタスクはどの程度、身体的に負担を感じましたか？）","How hurried or rushed did you feel during the task?
（このタスクを行う際、急かされていると感じましたか？）","How successful do you think you were in accomplishing the task?
（このタスクを成功させることができたと感じましたか？）","How much effort did you need to put into completing the task?
（このタスクを完了するために、どれくらいの努力が必要でしたか？）","How frustrated or irritated did you feel during the task?
（このタスクを行う際、イライラやストレスを感じましたか？）","How burdensome did you find gaze movement or searching during the task?
（このタスクの間、視線の移動や検索はどの程度負担になりましたか？）","To what extent did you need to adjust your body position or posture to complete the task?
（このタスクを完了するために、どの程度、体の向きを変更する必要がありましたか？）","How much burden did you feel from moving or repositioning yourself during the task?
（このタスクの間、移動や再配置による負担をどの程度感じましたか？）",ID,Condition,Free Description (自由記述),年齢（Age）,性別（Gender）,  Do you own a smart speaker?  （スマートスピーカーを所有していますか？）,"If yes, which type?(所有している場合は、機種を)",How have you operated smart home devices? (スマート家電の操作方法として使ったことがあるもの),Do you regularly use smart home devices?　(スマート家電を日常的に使っていますか？),列 40
2025/05/28 12:49:55,4,1,5,2,5,1,5,1,5,2,5,6,7,5,3,3,4,3,3,3,3,4,5,4,3,4,4,3,3,0,0,4,4,6,2,5,3,0,1,,25,Male （男性）,Yes (はい),Alexa,Voice Control (音声認識),Almost every day (5–7 days per week),
2025/05/28 13:04:18,5,5,5,5,5,5,5,5,5,2,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,2,1,0,10,1,0,7,8,9,0,2,,25,Male （男性）,Yes (はい),Alexa,,,
2025/05/28 13:32:18,3,1,5,1,5,5,5,5,1,1,2,1,7,1,1,1,5,1,1,1,1,1,5,5,1,5,5,1,0,0,0,10,0,9,0,0,0,0,3,,25,Male （男性）,Yes (はい),,,,
2025/05/28 13:46:21,5,1,5,2,5,1,5,1,5,1,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,0,0,0,10,0,0,1,6,2,0,4,,25,Male （男性）,Yes (はい),,,,
2025/06/08 15:57:44,2,1,5,2,5,3,5,3,4,1,7,6,7,5,4,4,3,3,4,4,4,4,5,3,4,2,2,3,3,4,9,8,2,2,3,8,6,TEST,1,,,,,,,,
2025/06/08 16:07:39,3,1,2,2,4,1,2,4,2,1,2,3,3,4,4,5,5,4,5,5,4,4,5,5,5,1,1,5,8,2,3,8,9,8,7,3,2,TEST,2,,,,,,,,
2025/06/08 16:11:42,5,1,5,3,5,2,5,1,4,1,7,7,7,5,5,4,4,4,4,4,5,4,5,4,4,1,1,4,3,7,3,8,5,4,4,6,4,TEST,3,,,,,,,,
2025/06/08 16:15:46,3,2,5,2,4,2,4,3,4,2,6,5,5,4,3,3,4,3,3,3,5,3,4,3,4,3,3,2,4,3,4,6,3,6,4,3,5,TEST,4,,,,,,,,
2025/06/10 10:11:58,5,1,5,1,5,1,5,1,5,1,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,0,0,0,10,0,0,0,2,0,OLD_P1,1,多少指示が不明瞭であっても意図通りの操作が行えた。,,,,,,,
2025/06/10 10:32:23,5,1,5,1,5,1,5,1,5,1,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,0,0,0,10,0,0,0,1,0,OLD_P1,4,,,,,,,,
2025/06/10 10:58:20,4,2,4,2,3,1,4,3,2,1,6,4,3,5,4,5,3,4,4,3,5,3,3,3,5,1,5,2,7,0,0,5,7,0,2,1,0,OLD_P1,2,"ラベルのほうが、身体的な負担が比較的にないと感じた。
ラベルを覚える必要がなければ、こっちのほうがいい。",,,,,,,
2025/06/10 11:11:20,5,1,5,1,5,1,5,1,5,1,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,0,0,0,10,0,0,0,1,0,OLD_P1,3,他の条件と比較してやりやすく、指示文も短く済んだ。,,,,,,,
2025/06/10 14:04:46,4,2,4,4,5,1,5,1,4,4,6,5,5,5,4,4,4,4,4,3,5,4,5,4,5,1,1,3,6,7,1,8,2,2,8,9,7,OLD_P2,3,,,,,,,,
2025/06/10 15:25:33,4,1,4,4,5,1,4,2,2,4,5,6,4,5,4,4,4,4,4,5,4,4,5,4,5,1,2,4,7,7,1,6,8,2,7,8,5,OLD_P2,1,"言葉でいうと便利な反面、
言葉で説明しずらいこともあった。
赤色の枠が見えにくい

Instuctionの文字がちょっと見ずらい。
",,,,,,,
2025/06/10 15:52:23,3,3,4,4,5,1,4,1,4,4,5,5,6,5,5,5,4,4,4,5,5,4,5,4,5,1,1,4,6,7,1,7,8,1,7,7,5,OLD_P2,2,"覚えればこれが一番いいと思った。
覚えることが負担で、人によって違うんじゃないかなと思った。",,,,,,,
2025/06/10 16:15:31,4,2,4,4,5,1,4,2,3,4,6,6,6,5,4,5,4,5,4,5,5,4,5,4,5,1,2,4,7,8,1,4,8,1,7,8,6,OLD_P2,4,"正面のとらえ方が正しくこちらが意識しているとらえ方をしていなかった。
自分の体をしっかり定めないといけないところを自分がしっかり定められていなかったのを感じた。
",,,,,,,
2025/06/13 20:28:25,2,2,4,2,4,2,4,2,2,2,3,3,2,4,3,3,2,3,2,2,4,2,4,2,2,3,2,3,6,6,4,4,6,4,7,7,6,P1_OLD,4,空間参照だけ,,,,,,,
2025/06/13 20:49:58,4,2,4,2,4,2,4,2,4,3,5,5,6,4,4,4,4,4,4,4,4,4,4,4,4,2,1,4,4,6,3,7,3,2,7,7,6,P1_OLD,3,Pointingだけ,,,,,,,
