ID,FreeDescription,FreeDescription2
P2,体調がいいと操作しやすい,
P3,,方向の指示ができない場合と比べてどのように指示したらよいかが即時に判断できました。
P5,指示を分けるときが明確であったと感じた,選択できるため、操作性が高いと感じた。複雑な指示にも対応できそう
P6,3つ選択して「点けて」と指示を出すだけでは視界にある一つしかつかなかったりと、命令の具体性が必要になる場面が稀にあった。全体としては選択した中でどのライトをどうつけるのかを考えることは難しいことではなかったため、指示を出しやすく使いやすい印象を受けた。,空間参照に比べて、発する言葉が少ないためストレスも少なく感じた。ただし、背後にあるライトをポインタで指定する際などは体勢を大きく変えなければならない場合もあり、その点は多少ストレスを生むように感じた。
P7,操作したいライトの数が制限されている状態では、このシステムはうまく統合されており、適切に早く快適に動作を行うことができる。,"操作がしやすかった。
時間的にも音声認識のものより時間がかからなかった"
P8,着実にタスクを達成できる点では、使っている際に感じるストレスが少なくてよかった。ただ、家庭で使うにはコントローラで選択しないといけない点が手間に感じそうです,他の方法と比べて、点灯したいライトが指定できるので入力に必要な言葉が少なくなり、結果としてタスクを達成するのが楽に感じた。
P10,後ろのウォールライトを、振り向かずに「右、左」と指示できるのがとても楽だった。いつも首がつらいので。,空間参照の精度が非常に高い。素晴らしいシステム。
P11,体験した４つの中で一番使いやすかったです。ただ日常生活ではパソコン作業や料理など両手がふさがっている場面では、別の音声のみで命令できる方がよいと思うので場面によるかなと,最初の条件だったので特に比較はできませんでした
P12,最も操作しやすかった,すごく使いやすかった。基本的に色だけ話せばいいから。
P13,一回ポインティングデバイスを使った指定になれるとそれしか使いたくなくなる,
P18,はじめに何色があるかを教えてくれるとやりやすいと思った,
P20,"想定外の電気がつくくことは少ないので使いやすい
まとめて指定するときに首が疲れる",
P22,天井の電気を見上げながら、右、真ん中、左という指示をしている間、頭を固定させる必要があったため、少しでもぶれてしまうと望んだ結果が得られなかった。それ以外は、基本問題なく動いた。,
P23,無駄にライトをつけることがなくて、タスクを比較的こなしやすかった。,
