ID,FreeDescription,FreeDescription2
P5,他のものと比べて、最初の覚える作業にだいぶ負担を感じた,LLMの認識精度が上がるといいと思いました。
P6,"「shelf light3，6，9を点けて」といった時にshelf light3,9とceiling light6が点いたことがあった点から、システムの一貫性に欠ける部分があるように感じた。ライトの名前が本実験のように機械的につけられたものであり、また数が多いと、使用者に混乱を招く可能性が高いように感じた。あらかじめ（使用頻度などで）グループ分けし、そのグループに名前を付けておけば、日常生活で使用する場合は多少使いやすくなるのではないかと感じた。",一度覚えてしまえば、手をほとんど動かさずにライトをつけることができ、またほかの作業をしながらでもできそうであるため、非常に便利に感じた。一方で、ライトが増えたり、その名前が複雑になればなるほど使用感が悪くなるのではないかというようにも感じた。
P7,it depends on the quality of word recognition,場所と名前を正確に覚えるために脳のリソースをかなり使ってしまったので、生活で使う上では利便性は高くないと感じました。
P8,確実にタスクを達成するために、番号で特定のライトを指定できるところが扱いやすかったです,一分でライトの名前を覚えきれませんでした。LLMは送信した内容を正確に反映してくれたのがよかったです。
P10,,数字の並び順がアイテムによって違うのがすこしややこしく感じました
P11,音声入力は両手がふさがっているなど、マルチタスク中は有効だと思いました。あと、いかに簡単な命令で正しい指示が出せるかという点,音声認識は声が枯れるから、何度も指示を出すのが大変でした
P12,名前を覚えて思い出す点が、精神的負担となった。,ライトの数が多い今回の環境では、名称をすべて覚える必要があり、難しい操作方法だ。しかし、ライトが少ない環境なら、とても便利で使いやすいと感じた。
P20,"数字や名前を覚えることはとても負担だった。
指定するときも柔軟性がなく面倒だった",
P22,ライトの名前を覚えなくてはいけない点、定められた名前で指示を出さなければいけない点は少し大変だった。自分で特定のライトを定めて認識させる動作はユーザーの使いやすさを半減させているように感じた。,
P23,各ライトの番号を覚えるのに時間を要した,
