タイムスタンプ,ID,Condition,"I think that I would like to use this system frequently.
（このシステムを頻繁に使用したいと思います。）","I found the system unnecessarily complex.
（このシステムは不必要に複雑だと感じました。）","I thought the system was easy to use.
（このシステムは簡単に使えると感じました。）","I think that I would need the support of a technical person to be able to use this system.
（このシステムを使うには技術的なサポートが必要だと思いました。）","I found the various functions in this system were well integrated.
（このシステムのさまざまな機能はうまく統合されていると感じました。）","I thought there was too much inconsistency in this system.
（このシステムには一貫性がないと感じました。）","I would imagine that most people would learn to use this system very quickly.
（ほとんどの人がこのシステムをすぐに使いこなせると思います。）","I found the system very cumbersome to use.
（このシステムは使いづらいと感じました。）","I felt very confident using the system.
（このシステムを使用する際、自信を持って使えました。）","I needed to learn a lot of things before I could get going with this system.
（このシステムを使い始める前に、多くのことを学ぶ必要がありました。）",Learning to operate this smart speaker system would be easy for me.（このスマートスピーカーの操作を学ぶのは簡単だと思います）,I would find it easy to get this system to do what I want it to do.（自分の望むようにシステムを操作するのは簡単だと思います） ,My interaction with this system would be clear and understandable.（このシステムとのやりとりは分かりやすいと思います） ） ,I would find this system to be flexible to interact with.（このシステムは柔軟に操作できると思います） ,It would be easy for me to become skillful at using this system.（このシステムを使いこなせるようになるのは簡単だと思います） ,I would find this system easy to use.（このシステムは使いやすいと思います） ,Using this smart speaker system in my home would enable me to accomplish tasks more quickly.（このスマートスピーカーを使うことで、タスクをより早く完了できると思います） ,Using this system would improve my performance in managing home-related tasks.（このシステムを使うことで、家庭関連の作業の効率が上がると思います） ,Using this smart speaker system in my home would increase my productivity in daily routines.（このスマートスピーカーを使うことで、日常の作業がより生産的になると思います） ,Using this system would enhance my effectiveness in everyday smart home usage.（このシステムを使うことで、スマートホームの操作がより効果的になると思います） ,Using this system would make it easier to do my daily home tasks.（このシステムを使うことで、日常の家庭作業がより簡単になると思います） ,would find this smart speaker system useful in my home life.（このスマートスピーカーは家庭生活において役立つと思います） ,  I am confident in the system.（私はこのシステムに自信を持っています）  ,The system provides security.（このシステムは安全性を提供します） ,The system has integrity.（このシステムには誠実さがあります） ,The system is dependable.（このシステムは信頼できます） ,The system is reliable.（このシステムは安定して動作します） ,I can trust the system.（私はこのシステムを信頼できます） ,I am familiar with the system.（私はこのシステムに慣れ親しんでいます） ,The system is deceptive.（このシステムは人を欺きます） ,The system behaves in an underhanded manner.（このシステムは不正な振る舞いをします） ,"I am suspicious of the system's intent, action, or outputs.（このシステムの意図・動作・出力に疑いを持っています） ",I am wary of the system.（私はこのシステムに警戒心を抱いています） ,The system's actions will have harmful or injurious outcome.（このシステムの行動は有害な結果をもたらす可能性があります） ," How mentally demanding was the task?（このタスクはどれくらい精神的に負担がありましたか？）
1: Strongly Disagree 
21: Strongly Agree"," How physically demanding was the task?（このタスクはどれくらい身体的に負担がありましたか？）
1: Strongly Disagree 
21: Strongly Agree"," How hurried or rushed was the pace of the task?（このタスクのペースはどれくらい急かされるものでしたか？）
1: Strongly Disagree 
21: Strongly Agree","How successful were you in accomplishing what you were asked to do?（求められたことをどれくらいうまく達成できたと思いますか？）
1: Strongly Disagree 
21: Strongly Agree","How hard did you have to work to accomplish your level of performance?（その成果を達成するために、どれくらい努力しましたか？）
1: Strongly Disagree 
21: Strongly Agree","How insecure, discouraged, irritated, stressed, and annoyed were you?（不安・落胆・苛立ち・ストレス・いら立ちはどの程度感じましたか？）
1: Strongly Disagree 
21: Strongly Agree",Free Description (自由記述)
2025/06/20 19:39:03,P1,1,2,1,4,1,5,1,5,2,2,1,,,,,,,5,,,,,,4,,,,,,,,,,,,7,,,,,,言葉だけで指定するのは、複数選択するときに難しい。このパターンだと、言語で指定すのをすごく不便に感じた。今回のタスクのように、複数のライト、色を様々なパターンで点灯するのは、個別の名称がないと難しいだろう。
2025/06/20 19:53:22,P1,2,5,1,5,1,5,1,5,1,5,1,,,,,,,5,,,,,,1,,,,,,,,,,,,0,,,,,,すごく使いやすかった。基本的に色だけ話せばいいから。
2025/06/20 20:09:49,P1,3,4,4,5,1,5,1,5,2,5,1,,,,,,,5,,,,,,1,,,,,,,,,,,,0,,,,,, 指定できないよりは便利だった。しかし、色を同時に指定できないのは不便だ。
2025/06/20 20:27:16,P1,4,4,1,5,1,5,1,3,2,4,5,,,,,,,5,,,,,,1,,,,,,,,,,,,0,,,,,,ライトの数が多い今回の環境では、名称をすべて覚える必要があり、難しい操作方法だ。しかし、ライトが少ない環境なら、とても便利で使いやすいと感じた。
2025/06/23 17:31:51,P2,2,4,2,4,3,4,1,4,3,4,4,,,,,,,3,,,,,,4,,,,,,,,,,,,9,,,,,,
2025/06/23 17:47:08,P2,3,3,2,4,2,4,2,5,3,4,3,,,,,,,5,,,,,,2,,,,,,,,,,,,8,,,,,,
2025/06/23 18:06:02,P2,4,4,2,4,4,4,4,4,1,5,5,,,,,,,4,,,,,,1,,,,,,,,,,,,1,,,,,,
2025/06/23 18:27:19,P2,1,4,1,5,1,5,1,5,1,5,1,,,,,,,5,,,,,,1,,,,,,,,,,,,9,,,,,,
2025/06/23 19:49:09,P3,3,3,2,5,3,5,1,5,1,5,2,,,,,,,5,,,,,,2,,,,,,,,,,,,5,,,,,,
2025/06/23 20:10:22,P3,4,3,2,4,2,5,1,4,1,3,2,,,,,,,5,,,,,,2,,,,,,,,,,,,2,,,,,,
2025/06/23 21:09:54,P3,1,4,1,4,4,5,2,4,2,2,3,,,,,,,4,,,,,,3,,,,,,,,,,,,0,,,,,,ラベルを知っているとラベルで指示したくなる傾向にありました
2025/06/23 21:42:23,P3,2,4,1,5,1,5,1,5,1,4,1,,,,,,,5,,,,,,2,,,,,,,,,,,,0,,,,,,方向の指示ができない場合と比べてどのように指示したらよいかが即時に判断できました。
2025/06/25 13:40:50,P4,4,5,4,3,4,4,2,2,3,3,5,,,,,,,5,,,,,,1,,,,,,,,,,,,7,,,,,,LLMの認識精度が上がるといいと思いました。
2025/06/25 14:09:40,P4,1,3,4,2,4,3,2,1,4,2,4,,,,,,,4,,,,,,1,,,,,,,,,,,,5,,,,,,VR の視界の範囲が、もう少し明確になればいいなと思った
2025/06/25 14:28:26,P4,2,5,2,5,2,5,2,5,1,5,4,,,,,,,5,,,,,,1,,,,,,,,,,,,4,,,,,,選択できるため、操作性が高いと感じた。複雑な指示にも対応できそう
2025/06/25 14:42:33,P4,3,4,1,5,2,5,2,5,3,5,1,,,,,,,5,,,,,,1,,,,,,,,,,,,4,,,,,,空間参照＋ポインティングと比べて時間がかかってしまうように感じた。しかしすべて確実に遂行することができた。
2025/06/25 15:53:58,P5,1,4,1,5,4,5,1,5,1,4,2,,,,,,,5,,,,,,1,,,,,,,,,,,,7,,,,,,棚の電気をつけるタスクで2段目と言うと3段目の電気がついたところであまり数字に強くないのではないかと思った
2025/06/25 16:15:22,P5,2,5,1,5,4,5,1,5,1,5,1,,,,,,,5,,,,,,1,,,,,,,,,,,,1,,,,,,
2025/06/25 16:30:30,P5,3,4,1,5,3,5,1,5,1,5,1,,,,,,,5,,,,,,1,,,,,,,,,,,,3,,,,,,空間情報がないので一つずつ行う必要があるところがほかの方法と比べて不便に感じた
2025/06/25 16:52:52,P5,4,3,4,2,3,3,1,1,5,3,4,,,,,,,4,,,,,,4,,,,,,,,,,,,2,,,,,,
2025/06/25 19:42:13,P6,2,3,4,4,2,5,1,5,3,5,1,,,,,,,5,,,,,,2,,,,,,,,,,,,6,,,,,,コントローラでポインティングをする必要があるのか疑問だった。音声だけでいけそう。基本的に意図した通りに動いたが、間違えることもある不確実性がどうしても気になる。
2025/06/25 20:08:01,P6,3,2,4,4,2,3,4,3,4,2,1,,,,,,,2,,,,,,4,,,,,,,,,,,,7,,,,,, 色が変わるごとに命令をわけることが面倒くさく感じた。やはり、自分で電気をポインティンするのは面倒に感じる。
2025/06/25 20:29:59,P6,4,2,1,1,2,4,1,1,5,2,5,,,,,,,5,,,,,,2,,,,,,,,,,,,9,,,,,,"自分がライトの名前を覚えさえすれば動作の確実性は高いと感じた。
何回も使えばライトの名前も覚えるので、確実性が高い分信頼できるシステムになると感じた。"
2025/06/25 20:55:21,P6,1,3,2,4,1,3,4,3,1,3,1,,,,,,,2,,,,,,4,,,,,,,,,,,,5,,,,,,"曖昧な指示でも意図した通りに動くことがあるのは楽に感じた。
ただ、電気の位置を明確に指定するよう意識しないと意図した通りに動かないことが何回かあった。そこを直せば最も楽に使えると思う。"
2025/06/26 13:06:58,P7,3,4,2,4,3,2,4,5,3,4,2,,,,,,,4,,,,,,2,,,,,,,,,,,,7,,,,,,
2025/06/26 13:24:10,P7,4,4,2,2,2,4,2,2,2,4,4,,,,,,,2,,,,,,2,,,,,,,,,,,,3,,,,,,
2025/06/26 13:48:34,P7,1,4,2,2,4,5,2,2,4,4,3,,,,,,,2,,,,,,2,,,,,,,,,,,,4,,,,,,
2025/06/26 13:59:49,P7,2,4,2,5,2,5,1,5,2,4,2,,,,,,,4,,,,,,2,,,,,,,,,,,,4,,,,,,
2025/06/26 15:40:21,P8,4,3,4,2,1,5,4,2,4,4,4,,,,,,,3,,,,,,2,,,,,,,,,,,,3,,,,,,数字の並び順がアイテムによって違うのがすこしややこしく感じました
